trade_id,ticker,count,yes_price,no_price,taker_side,created_time

1035ea05-993a-7493-6dc9-2e5a89407602,KXBTC15M-25DEC181130-30,16,3,97,no,2025-12-18T16:27:29.05046Z
13a8661b-7a1a-610b-09f4-304afcfdd4fe,KXBTC15M-25DEC181130-30,23,3,97,no,2025-12-18T16:27:19.147626Z
c00442c7-f48e-605f-3aae-0deb02f96e4e,KXBTC15M-25DEC181130-30,36,3,97,no,2025-12-18T16:27:16.805775Z
a28e05a7-46b4-6c2e-da5e-81faffae3e29,KXBTC15M-25DEC181130-30,20,9,91,yes,2025-12-18T16:25:43.163915Z
ba64e971-3b10-717e-546c-437bd725214d,KXBTC15M-25DEC181130-30,10,9,91,yes,2025-12-18T16:25:42.141613Z
49b8059e-f9de-4abb-ff57-ad5cca082c00,KXBTC15M-25DEC181130-30,17,12,88,no,2025-12-18T16:23:41.369846Z
5d9437dd-440c-71b8-1b40-df4e654a6426,KXBTC15M-25DEC181130-30,20,15,85,yes,2025-12-18T16:23:21.168072Z
44e1eb53-949c-545c-59f6-c2802b06859e,KXBTC15M-25DEC181130-30,20,16,84,yes,2025-12-18T16:23:16.173806Z
038bf0f1-df45-48e9-d3dc-c367902bc17a,KXBTC15M-25DEC181130-30,6,25,75,yes,2025-12-18T16:22:57.162077Z
416e848b-2a6d-4fd9-3389-3ef7e8196db2,KXBTC15M-25DEC181130-30,1,23,77,yes,2025-12-18T16:22:55.858053Z
f897b8c4-7661-6575-54c9-85f4ee5f0296,KXBTC15M-25DEC181130-30,1,23,77,yes,2025-12-18T16:22:55.794048Z
702ce55a-e0dd-7db9-1d81-5fbde0a58572,KXBTC15M-25DEC181130-30,1,23,77,yes,2025-12-18T16:22:55.732365Z
2ca046b0-5ddd-69b9-29ad-f64cda868d82,KXBTC15M-25DEC181130-30,1,23,77,yes,2025-12-18T16:22:55.669561Z
4243560e-0571-5a91-e119-a2593de3ffc6,KXBTC15M-25DEC181130-30,1,23,77,yes,2025-12-18T16:22:55.601839Z
de02df79-6a89-58ad-8f5e-d6aae78410f2,KXBTC15M-25DEC181130-30,1,23,77,yes,2025-12-18T16:22:55.539444Z
d6ef08ba-f881-7c2d-dc10-a548bf2da29a,KXBTC15M-25DEC181130-30,1,23,77,yes,2025-12-18T16:22:55.477619Z
ab6eff51-8599-5a59-81bc-fe3d3e265b9a,KXBTC15M-25DEC181130-30,1,23,77,yes,2025-12-18T16:22:55.423202Z
c1926ee3-3b45-49d1-091c-b076f24f4fae,KXBTC15M-25DEC181130-30,1,23,77,yes,2025-12-18T16:22:55.363708Z
40067921-c881-559d-a129-be59961ed5aa,KXBTC15M-25DEC181130-30,1,23,77,yes,2025-12-18T16:22:55.301933Z
e4597056-fa21-680d-adca-7525464ac1aa,KXBTC15M-25DEC181130-30,1,23,77,yes,2025-12-18T16:22:55.237684Z
36e78fb9-9641-5929-e383-97d1faaede8e,KXBTC15M-25DEC181130-30,1,23,77,yes,2025-12-18T16:22:55.17501Z
6d995f66-e905-44c9-b24f-8232079361a2,KXBTC15M-25DEC181130-30,1,23,77,yes,2025-12-18T16:22:55.109102Z
b8de0b61-ad6d-6fcd-9762-99e5e957efaa,KXBTC15M-25DEC181130-30,1,23,77,yes,2025-12-18T16:22:55.050013Z
6bf1623f-348d-7e91-b168-35c708c892a6,KXBTC15M-25DEC181130-30,1,23,77,yes,2025-12-18T16:22:54.986505Z
915715aa-c039-5cc9-c507-397dcc0b3166,KXBTC15M-25DEC181130-30,1,23,77,yes,2025-12-18T16:22:54.923104Z
da1e82e9-36ed-5be1-8654-53c34c29479e,KXBTC15M-25DEC181130-30,1,23,77,yes,2025-12-18T16:22:54.814956Z
8b2960a2-f0cd-5f21-dad7-7780ee73db0a,KXBTC15M-25DEC181130-30,1,23,77,yes,2025-12-18T16:22:54.757049Z
ea71b388-a251-7c75-9554-f15b4e16480a,KXBTC15M-25DEC181130-30,1,24,76,yes,2025-12-18T16:22:54.697572Z
cb881b28-89d1-6c91-62d4-b76c708922fe,KXBTC15M-25DEC181130-30,1,24,76,yes,2025-12-18T16:22:54.551527Z
eb2a9957-3509-7bed-caf8-702ba6ea008e,KXBTC15M-25DEC181130-30,1,24,76,yes,2025-12-18T16:22:54.486621Z
2f5404c6-8725-59c5-68bd-16bd2726ecee,KXBTC15M-25DEC181130-30,1,24,76,yes,2025-12-18T16:22:54.415645Z
a4c44856-9dc5-5025-0b42-6ccdc02377b6,KXBTC15M-25DEC181130-30,1,24,76,yes,2025-12-18T16:22:54.278738Z
9e2bd5cf-63c9-6c65-f5d1-39d2e9fc8326,KXBTC15M-25DEC181130-30,1,24,76,yes,2025-12-18T16:22:54.132357Z
3cb14f14-4fd5-6b51-5f8f-35739cb292ee,KXBTC15M-25DEC181130-30,1,24,76,yes,2025-12-18T16:22:53.990535Z
bf3a2bac-73f5-52b9-2e48-8ce5d11fbf46,KXBTC15M-25DEC181130-30,1,24,76,yes,2025-12-18T16:22:53.871714Z
2ec05086-4a19-6e45-c8e9-809b679fe1c2,KXBTC15M-25DEC181130-30,1,24,76,yes,2025-12-18T16:22:53.735166Z
769f27ad-8981-53c5-0780-fefa746af622,KXBTC15M-25DEC181130-30,1,24,76,yes,2025-12-18T16:22:53.623756Z
72747dc1-1c3d-7345-1b70-23614d3fd41a,KXBTC15M-25DEC181130-30,1,25,75,yes,2025-12-18T16:22:53.447277Z
ad71693e-e07d-7bf9-d059-debf116aa15a,KXBTC15M-25DEC181130-30,1,25,75,yes,2025-12-18T16:22:53.339209Z
a465a194-0789-5bc5-a0d3-b83c4d747a06,KXBTC15M-25DEC181130-30,1,25,75,yes,2025-12-18T16:22:53.271291Z
95942e93-04a5-73d9-a9b2-4082cb6ce8c6,KXBTC15M-25DEC181130-30,1,25,75,yes,2025-12-18T16:22:53.158564Z
9caae3c2-d7fd-5091-f26b-aba02968728a,KXBTC15M-25DEC181130-30,1,25,75,yes,2025-12-18T16:22:53.038621Z
